Date,GOOGL,MSFT
23-03-2017,839.650024,64.87
24-03-2017,835.140015,64.98
27-03-2017,838.51001,65.1
28-03-2017,840.630005,65.29
29-03-2017,849.869995,65.47
30-03-2017,849.47998,65.71
31-03-2017,847.799988,65.86
03-04-2017,856.75,65.55
04-04-2017,852.570007,65.73
05-04-2017,848.909973,65.56
06-04-2017,845.099976,65.73
07-04-2017,842.099976,65.68
10-04-2017,841.700012,65.53
11-04-2017,839.880005,65.48
12-04-2017,841.460022,65.23
13-04-2017,840.179993,64.95
17-04-2017,855.130005,65.48
18-04-2017,853.98999,65.39
19-04-2017,856.51001,65.04
20-04-2017,860.080017,65.5
21-04-2017,858.950012,66.4
24-04-2017,878.929993,67.53
25-04-2017,888.840027,67.92
26-04-2017,889.140015,67.83
27-04-2017,891.440002,68.27
28-04-2017,924.52002,68.46
01-05-2017,932.820007,69.41
02-05-2017,937.090027,69.3
03-05-2017,948.450012,69.08
04-05-2017,954.719971,68.81
05-05-2017,950.280029,69
08-05-2017,958.690002,68.94
09-05-2017,956.710022,69.04
10-05-2017,954.840027,69.31
11-05-2017,955.890015,68.46
12-05-2017,955.140015,68.38
15-05-2017,959.219971,68.43
16-05-2017,964.609985,69.41
17-05-2017,942.169983,67.48
18-05-2017,950.5,67.71
19-05-2017,954.650024,67.69
22-05-2017,964.070007,68.45
23-05-2017,970.549988,68.68
24-05-2017,977.609985,68.77
25-05-2017,991.859985,69.62
26-05-2017,993.27002,69.96
30-05-2017,996.169983,70.41
31-05-2017,987.090027,69.84
01-06-2017,988.289978,70.1
02-06-2017,996.119995,71.76
05-06-2017,1003.880005,72.28
06-06-2017,996.679993,72.52
07-06-2017,1001.5,72.39
08-06-2017,1004.280029,71.95
09-06-2017,970.119995,70.32
12-06-2017,961.809998,69.78
13-06-2017,970.5,70.65
14-06-2017,967.929993,70.27
15-06-2017,960.179993,69.9
16-06-2017,958.619995,70
19-06-2017,975.219971,70.87
20-06-2017,968.98999,69.91
21-06-2017,978.590027,70.27
22-06-2017,976.619995,70.26
23-06-2017,986.090027,71.21
26-06-2017,972.090027,70.53
27-06-2017,948.090027,69.21
28-06-2017,961.01001,69.8
29-06-2017,937.820007,68.49
30-06-2017,929.679993,68.93
03-07-2017,919.460022,68.17
05-07-2017,932.26001,69.08
06-07-2017,927.690002,68.57
07-07-2017,940.809998,69.46
10-07-2017,951,69.98
11-07-2017,953.530029,69.99
12-07-2017,967.659973,71.15
13-07-2017,968.849976,71.77
14-07-2017,976.909973,72.78
17-07-2017,975.960022,73.35
18-07-2017,986.950012,73.3
