Date,CVX,IBM
04-11-2016,104.78,152.43
07-11-2016,106.85,155.72
08-11-2016,107.29,155.17
09-11-2016,107.64,154.81
10-11-2016,107.79,160.22
11-11-2016,106.64,161.27
14-11-2016,106.59,158.21
15-11-2016,108.96,158.67
16-11-2016,108.35,159.29
17-11-2016,108.12,159.8
18-11-2016,109.2,160.39
21-11-2016,110.18,162.77
22-11-2016,110.62,162.67
23-11-2016,111,161.98
25-11-2016,111,163.14
28-11-2016,110.5,164.52
29-11-2016,109.34,163.53
30-11-2016,111.56,162.22
01-12-2016,113.29,159.82
02-12-2016,113,160.02
05-12-2016,113.25,159.84
06-12-2016,112.76,160.35
07-12-2016,114.44,164.79
08-12-2016,115.17,165.36
09-12-2016,115.81,166.52
12-12-2016,117.15,165.5
13-12-2016,117.42,168.29
14-12-2016,115.96,168.51
15-12-2016,117.05,168.02
16-12-2016,118.08,166.73
19-12-2016,117.65,166.68
20-12-2016,117.95,167.6
21-12-2016,117.91,167.33
22-12-2016,118.77,167.06
23-12-2016,118.42,166.71
27-12-2016,118.22,167.14
28-12-2016,117.91,166.19
29-12-2016,117.82,166.6
30-12-2016,117.7,165.99
03-01-2017,117.85,167.19
04-01-2017,117.82,169.26
05-01-2017,117.31,168.7
06-01-2017,116.84,169.53
09-01-2017,115.84,167.65
10-01-2017,114.96,165.52
11-01-2017,115.93,167.75
12-01-2017,116.16,167.95
13-01-2017,116.38,167.34
17-01-2017,116.28,167.89
18-01-2017,115.94,166.8
19-01-2017,115.58,166.81
20-01-2017,115.6,170.55
23-01-2017,115.39,171.03
24-01-2017,116.37,175.9
25-01-2017,117.24,178.29
26-01-2017,116.55,178.66
27-01-2017,113.79,177.3
30-01-2017,111.82,175.8
31-01-2017,111.35,174.52
01-02-2017,111,174.29
02-02-2017,112.21,174.58
03-02-2017,113.57,175.82
06-02-2017,112.98,175.86
07-02-2017,111.39,178.46
08-02-2017,111.58,176.17
09-02-2017,112.26,177.21
10-02-2017,113.05,178.68
13-02-2017,113.91,179.36
14-02-2017,112.52,180.13
15-02-2017,112.57,181.68
16-02-2017,110.68,181.43
17-02-2017,110.33,180.67
21-02-2017,111.72,180.26
22-02-2017,110.38,181.15
23-02-2017,111.02,181.65
24-02-2017,110.12,181.35
27-02-2017,111.75,179.4
28-02-2017,112.5,179.82
01-03-2017,113.88,181.95
02-03-2017,113.36,180.53
03-03-2017,113.55,180.05
06-03-2017,113.17,180.47
07-03-2017,111.81,180.38
08-03-2017,109.61,179.45
09-03-2017,110.04,177.18
10-03-2017,110.61,177.83
13-03-2017,109.35,176.46
14-03-2017,107.36,175.72
15-03-2017,108.88,175.81
16-03-2017,107.86,177.24
17-03-2017,107.68,175.65
20-03-2017,107.66,175.7
21-03-2017,108.04,173.88
22-03-2017,108.39,174.78
23-03-2017,107.87,174.82
24-03-2017,107.99,173.83
27-03-2017,106.28,173.77
28-03-2017,107.17,174.51
29-03-2017,108.07,173.94
30-03-2017,107.78,173.86
31-03-2017,107.37,174.14
03-04-2017,107.8,174.5
04-04-2017,108.66,174.52
05-04-2017,108.64,172.88
06-04-2017,109.29,172.45
07-04-2017,108.86,172.14
10-04-2017,109.43,171.2
11-04-2017,108.97,170.58
12-04-2017,108.97,170.66
13-04-2017,106.1,169.53
17-04-2017,106.17,171.1
18-04-2017,105.68,170.05
19-04-2017,104.23,161.69
20-04-2017,104.88,162.3
21-04-2017,104.89,160.38
24-04-2017,105.93,160.75
25-04-2017,106.73,160.39
26-04-2017,106.08,160.06
27-04-2017,105.47,160.32
28-04-2017,106.7,160.29
01-05-2017,105.92,158.84
02-05-2017,105.36,159.1
03-05-2017,106.72,158.63
04-05-2017,104.81,159.05
05-05-2017,105.79,155.05
08-05-2017,106.68,153.03
09-05-2017,105.08,152.11
10-05-2017,106.5,151.25
11-05-2017,106.21,150.65
12-05-2017,105.96,150.37
15-05-2017,106.85,151.51
16-05-2017,107.25,153.68
17-05-2017,104.7,150.93
18-05-2017,105.17,150.78
19-05-2017,106.52,151.98
22-05-2017,106.12,152.64
23-05-2017,106.27,152.03
24-05-2017,106.22,152.51
25-05-2017,105.11,153.2
26-05-2017,104.72,152.49
30-05-2017,104.06,151.73
31-05-2017,103.48,152.63
01-06-2017,104.27,152.67
02-06-2017,103.11,152.05
05-06-2017,103.19,152.41
06-06-2017,104.17,152.37
07-06-2017,103.77,150.98
08-06-2017,104,152.1
09-06-2017,106.4,154.1
12-06-2017,108.04,155.18
13-06-2017,108.13,154.25
14-06-2017,106.6,153.81
15-06-2017,106.33,154.22
16-06-2017,108.35,155.38
19-06-2017,107.46,154.84
20-06-2017,106.48,154.95
21-06-2017,104.49,153.79
22-06-2017,104.45,154.4
23-06-2017,105,154.11
26-06-2017,104.14,155.23
27-06-2017,104.07,154.75
28-06-2017,104.28,155.32
29-06-2017,104.12,154.13
30-06-2017,104.33,153.83
03-07-2017,106.3,155.58
05-07-2017,104.62,153.67
06-07-2017,103.82,152.36
07-07-2017,103.49,152.94
10-07-2017,103.04,153.42
11-07-2017,103.12,153.19
12-07-2017,103.89,153.7
13-07-2017,104.13,153.63
14-07-2017,104.44,154.24
17-07-2017,104.21,153.01
18-07-2017,103.72,154
19-07-2017,104.46,147.53
20-07-2017,104.63,147.66
21-07-2017,103.25,147.08
24-07-2017,103.2,145.99
25-07-2017,104.39,146.19
26-07-2017,105.12,145.36
27-07-2017,106.11,145.07
28-07-2017,108.12,144.29
31-07-2017,109.19,144.67
01-08-2017,110.78,145.3
02-08-2017,110.46,144.45
03-08-2017,109.43,144.94
04-08-2017,110.11,145.16
07-08-2017,109.78,143.47
08-08-2017,110.35,142.11
09-08-2017,110.89,141.77
10-08-2017,110.11,141.84
11-08-2017,109.23,141.84
14-08-2017,108.71,142.32
15-08-2017,108.57,142.07
16-08-2017,106.84,142.5
17-08-2017,105.92,140.7
18-08-2017,106.48,139.7
21-08-2017,105.78,140.33
22-08-2017,106.36,141.01
23-08-2017,106.61,142.14
24-08-2017,107.44,142.94
25-08-2017,108.23,143.74
28-08-2017,107.76,142.51
29-08-2017,107.86,143.14
30-08-2017,107.73,142.56
31-08-2017,107.62,143.03
01-09-2017,108.76,144.08
05-09-2017,109.44,143.04
06-09-2017,111.79,143.82
07-09-2017,111.8,142.9
08-09-2017,110.78,142.45
11-09-2017,112.52,144.86
12-09-2017,112.49,145.76
13-09-2017,114.18,145.99
14-09-2017,114.45,145.54
15-09-2017,114.63,144.82
18-09-2017,115.19,144.55
19-09-2017,116.34,144.39
20-09-2017,116.37,145.88
21-09-2017,116.47,145.26
22-09-2017,117.29,145.13
25-09-2017,117.99,145.87
26-09-2017,117.52,146.56
27-09-2017,117.45,145.66
28-09-2017,117.62,145.66
29-09-2017,117.5,145.08
02-10-2017,117.43,146.66
03-10-2017,117.82,146.78
04-10-2017,117.58,146.48
05-10-2017,118.58,146.72
06-10-2017,117.03,146.48
09-10-2017,117.71,147.39
10-10-2017,118.8,148.5
11-10-2017,119.33,147.62
12-10-2017,119.14,147.03
13-10-2017,119.16,147.1
16-10-2017,120.13,146.83
17-10-2017,120.22,146.54
18-10-2017,118.15,159.53
19-10-2017,118.2,160.9
20-10-2017,118.64,162.07
23-10-2017,118.93,159.55
24-10-2017,119.23,155.88
25-10-2017,118.51,153.495
26-10-2017,118.44,153.6
27-10-2017,113.54,153.68
30-10-2017,114.39,154.36
31-10-2017,115.89,154.06
01-11-2017,115.9,154.03
02-11-2017,115.33,153.35
03-11-2017,114.99,151.58
06-11-2017,117.04,150.84
07-11-2017,117.24,151.35
08-11-2017,116.67,151.57
09-11-2017,117.24,150.3
10-11-2017,117.18,149.16
13-11-2017,117.23,148.4
14-11-2017,116.92,148.89
15-11-2017,116.45,147.1
16-11-2017,114.57,149.12
17-11-2017,114.71,148.97
20-11-2017,114.72,150.51
21-11-2017,115.17,151.95
22-11-2017,115.91,151.77
24-11-2017,116.51,151.84
27-11-2017,115.59,151.98
28-11-2017,116.45,152.47
29-11-2017,117.18,153.55
30-11-2017,118.99,153.97
01-12-2017,119.51,154.76
04-12-2017,120.84,156.46
05-12-2017,120.39,155.35
06-12-2017,119.61,154.1
07-12-2017,119.63,153.57
08-12-2017,119.92,154.81
11-12-2017,120.42,155.41
12-12-2017,119.68,156.74
13-12-2017,119.93,153.91
14-12-2017,119.53,154
15-12-2017,119.73,152.5
18-12-2017,119.7,153.33
19-12-2017,119.84,153.23
20-12-2017,120.89,152.95
21-12-2017,124.82,151.5
22-12-2017,124.98,152.5
26-12-2017,125.98,152.83
27-12-2017,125.55,153.13
28-12-2017,125.58,154.04
29-12-2017,125.19,153.42
